## [iView]
Converted from: NA
Date: NA
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	60
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	13747                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
Subject: NA
## Description:	description info                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	800	600
## Calibration Point 0:	Position(400;300)
## Calibration Point 1:	Position(200;30)
## Calibration Point 2:	Position(760;150)
## Calibration Point 3:	Position(600;570)
## Calibration Point 4:	Position(40;450)
## [Geometry]
## Stimulus Dimension [mm]:	321	240
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1023401-1517//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
4460345855	SMP	1	1405.98	488.96	1172.47	464.79	23.97	23.97	5.24	24.80	24.80	5.44	1403.15	491.32	1409.33	491.33	1172.51	467.57	1178.68	467.59	606.45	454.62	598.63	467.85	0	1	1	2	-1	-1	-14.55	62.20	731.32	39.51	68.71	742.21	0.03	0.03	-1.00	0.10	0.04	-0.99	0		
4460362541	SMP	1	1406.11	489.08	1172.11	465.12	23.66	23.66	5.23	24.49	24.49	5.45	1403.12	491.32	1409.37	491.31	1172.48	467.51	1178.57	467.55	605.22	458.23	608.74	488.23	0	1	1	2	-1	-1	-14.55	62.19	731.19	39.54	68.74	742.42	0.03	0.02	-1.00	0.11	0.02	-0.99	0		
4460379169	SMP	1	1406.00	488.75	1172.42	465.15	23.84	23.84	5.23	24.69	24.69	5.46	1402.97	491.33	1409.24	491.27	1172.42	467.50	1178.50	467.58	605.39	450.00	594.29	489.25	0	1	1	2	-1	-1	-14.51	62.19	731.15	39.54	68.71	742.14	0.02	0.04	-1.00	0.09	0.02	-1.00	0		
4460395847	SMP	1	1405.97	488.65	1170.10	465.47	23.59	23.59	5.23	21.72	21.72	5.36	1402.84	491.35	1409.13	491.23	1172.33	467.49	1178.17	467.50	602.76	444.29	794.93	524.12	0	1	1	2	-1	-1	-14.48	62.18	731.03	39.69	68.89	743.95	0.02	0.04	-1.00	0.20	0.01	-0.98	0		
4460412485	SMP	1	1405.77	488.90	1172.06	464.94	23.73	23.73	5.22	24.89	24.89	5.40	1402.77	491.32	1409.11	491.23	1172.38	467.52	1178.34	467.65	605.36	451.43	605.21	481.50	0	1	1	2	-1	-1	-14.46	62.14	730.53	39.66	68.87	743.90	0.03	0.03	-1.00	0.11	0.04	-0.99	0		
4460429164	SMP	1	1405.87	488.70	1170.12	465.30	23.50	23.50	5.21	22.15	22.15	5.32	1402.75	491.33	1409.08	491.26	1172.27	467.62	1178.08	467.65	603.24	443.09	792.94	495.44	0	1	1	2	-1	-1	-14.45	62.11	730.21	39.85	69.11	746.64	0.02	0.04	-1.00	0.19	0.02	-0.98	0		
4460445821	SMP	1	1405.90	489.00	1172.12	465.37	23.79	23.79	5.22	24.22	24.22	5.34	1402.75	491.41	1409.09	491.31	1172.24	467.81	1178.37	467.84	602.78	452.19	602.72	489.20	0	1	1	2	-1	-1	-14.45	62.07	729.92	39.68	68.82	744.00	0.02	0.03	-1.00	0.10	0.03	-0.99	0		
4460462489	SMP	1	1405.81	488.98	1172.23	464.57	23.52	23.52	5.21	25.43	25.43	5.41	1402.83	491.39	1409.14	491.32	1172.29	467.83	1178.38	467.86	604.87	450.58	604.06	413.19	0	1	1	2	-1	-1	-14.46	62.07	729.93	39.67	68.82	744.06	0.03	0.03	-1.00	0.10	0.07	-0.99	0		
4460479130	SMP	1	1405.95	488.99	1172.31	464.91	23.65	23.65	5.20	25.01	25.01	5.45	1402.96	491.37	1409.25	491.28	1172.42	467.69	1178.41	467.81	603.96	451.01	600.79	461.99	0	1	1	2	-1	-1	-14.49	62.08	729.97	39.71	68.94	745.13	0.03	0.03	-1.00	0.10	0.04	-0.99	0		
4460495804	SMP	1	1406.01	488.67	1172.34	464.84	24.02	24.02	5.22	24.76	24.76	5.47	1403.06	491.28	1409.26	491.23	1172.47	467.58	1178.45	467.69	604.77	443.34	600.00	461.47	0	1	1	2	-1	-1	-14.52	62.15	730.56	39.73	69.01	745.61	0.03	0.04	-1.00	0.10	0.04	-0.99	0		
